Parity,Head,Tail,Close
HARDBNB,HARD,BNB,0.00050400
HARDBTC,HARD,BTC,0.00000468
HARDBUSD,HARD,BUSD,0.12010000
HARDUSDT,HARD,USDT,0.12090000
BNBBRL,BNB,BRL,1175.00000000
LTCEUR,LTC,EUR,72.19000000
SLPETH,SLP,ETH,0.00000089
ADAEUR,ADA,EUR,0.25580000
CVPBUSD,CVP,BUSD,0.31310000
STRAXBTC,STRAX,BTC,0.00001525
STRAXBUSD,STRAX,BUSD,0.39600000
STRAXUSDT,STRAX,USDT,0.39500000
FORBTC,FOR,BTC,0.00000068
FORBUSD,FOR,BUSD,0.01760000
UNFIBTC,UNFI,BTC,0.00012940
UNFIBUSD,UNFI,BUSD,3.33600000
UNFIUSDT,UNFI,USDT,3.35000000
FRONTBUSD,FRONT,BUSD,0.13590000
ROSEBTC,ROSE,BTC,0.00000173
ROSEBUSD,ROSE,BUSD,0.04485000
ROSEUSDT,ROSE,USDT,0.04476000
AVAXTRY,AVAX,TRY,280.70000000
BUSDBRL,BUSD,BRL,4.89000000
AVAUSDT,AVA,USDT,0.42100000
SYSBUSD,SYS,BUSD,0.11960000
XEMUSDT,XEM,USDT,0.02670000
PROMBUSD,PROM,BUSD,3.78000000
XRPBRL,XRP,BRL,2.55700000
SKLBTC,SKL,BTC,0.00000097
SKLBUSD,SKL,BUSD,0.02498000
SKLUSDT,SKL,USDT,0.02498000
BCHEUR,BCH,EUR,98.60000000
YFIEUR,YFI,EUR,5227.00000000
ZILBIDR,ZIL,BIDR,259.00
GLMBTC,GLM,BTC,0.00000655
GHSTBUSD,GHST,BUSD,0.88600000
LINKBRL,LINK,BRL,25.86000000
LTCRUB,LTC,RUB,6560.90000000
TRXTRY,TRX,TRY,1.71910000
XLMEUR,XLM,EUR,0.07750000
DFBUSD,DF,BUSD,0.03630000
GRTBTC,GRT,BTC,0.00000381
GRTETH,GRT,ETH,0.00005680
GRTUSDT,GRT,USDT,0.09840000
JUVBUSD,JUV,BUSD,2.15000000
JUVUSDT,JUV,USDT,2.12900000
PSGBTC,PSG,BTC,0.00012590
PSGBUSD,PSG,BUSD,3.31000000
PSGUSDT,PSG,USDT,3.32000000
1INCHBTC,1INCH,BTC,0.00001036
1INCHUSDT,1INCH,USDT,0.26800000
REEFUSDT,REEF,USDT,0.00154400
OGBTC,OG,BTC,0.00017880
OGUSDT,OG,USDT,4.62300000
ATMUSDT,ATM,USDT,2.51400000
ASRUSDT,ASR,USDT,2.50000000
CELOBTC,CELO,BTC,0.00001583
CELOUSDT,CELO,USDT,0.41000000
RIFBTC,RIF,BTC,0.00000342
RIFUSDT,RIF,USDT,0.08820000
CHZTRY,CHZ,TRY,1.63100000
XLMTRY,XLM,TRY,1.98900000
LINKGBP,LINK,GBP,4.18900000
GRTEUR,GRT,EUR,0.09190000
TRUBTC,TRU,BTC,0.00000127
TRUUSDT,TRU,USDT,0.03330000
DEXEETH,DEXE,ETH,0.00110300
DEXEBUSD,DEXE,BUSD,1.92400000
EOSEUR,EOS,EUR,0.62700000
LTCBRL,LTC,BRL,379.90000000
TUSDBUSD,TUSD,BUSD,1.00120000
CKBBUSD,CKB,BUSD,0.00277000
CKBUSDT,CKB,USDT,0.00276000
TWTBTC,TWT,BTC,0.00002856
TWTBUSD,TWT,BUSD,0.73820000
TWTUSDT,TWT,USDT,0.73830000
FIROBTC,FIRO,BTC,0.00005180
FIROUSDT,FIRO,USDT,1.33900000
BETHETH,BETH,ETH,0.99880000
DOGEEUR,DOGE,EUR,0.05752000
DOGETRY,DOGE,TRY,1.47500000
DOGEBRL,DOGE,BRL,0.30170000
LITBTC,LIT,BTC,0.00002402
LITBUSD,LIT,BUSD,0.62300000
LITUSDT,LIT,USDT,0.62200000
BUSDVAI,BUSD,VAI,1.03100000
SFPBTC,SFP,BTC,0.00001381
SFPBUSD,SFP,BUSD,0.35790000
SFPUSDT,SFP,USDT,0.35890000
DOGEGBP,DOGE,GBP,0.04908000
DOTTRY,DOT,TRY,110.60000000
FXSBTC,FXS,BTC,0.00019287
FXSBUSD,FXS,BUSD,5.00700000
DODOBTC,DODO,BTC,0.00000355
DODOBUSD,DODO,BUSD,0.09170000
DODOUSDT,DODO,USDT,0.09180000
FRONTBTC,FRONT,BTC,0.00000523
CAKEBTC,CAKE,BTC,0.00005340
CAKEUSDT,CAKE,USDT,1.38300000
BAKEBUSD,BAKE,BUSD,0.09790000
UFTETH,UFT,ETH,0.00013550
UFTBUSD,UFT,BUSD,0.23670000
1INCHBUSD,1INCH,BUSD,0.26900000
BANDBUSD,BAND,BUSD,1.01800000
GRTBUSD,GRT,BUSD,0.09850000
IOSTBUSD,IOST,BUSD,0.00755000
OMGBUSD,OMG,BUSD,0.55100000
REEFBUSD,REEF,BUSD,0.00154400
ACMBUSD,ACM,BUSD,1.88200000
ACMUSDT,ACM,USDT,1.88300000
AUCTIONBTC,AUCTION,BTC,0.00014650
AUCTIONBUSD,AUCTION,BUSD,3.81000000
PHABTC,PHA,BTC,0.00000372
PHABUSD,PHA,BUSD,0.09650000
DOTGBP,DOT,GBP,3.67000000
ADATRY,ADA,TRY,6.57000000
ADABRL,ADA,BRL,1.34400000
ADAGBP,ADA,GBP,0.21890000
TVKBTC,TVK,BTC,0.00000099
TVKBUSD,TVK,BUSD,0.02560000
BADGERBTC,BADGER,BTC,0.00007810
BADGERBUSD,BADGER,BUSD,2.02700000
BADGERUSDT,BADGER,USDT,2.02400000
FISBTC,FIS,BTC,0.00001085
FISBUSD,FIS,BUSD,0.28260000
FISUSDT,FIS,USDT,0.28200000
DOTBRL,DOT,BRL,22.62000000
HOTTRY,HOT,TRY,0.03041000
EGLDEUR,EGLD,EUR,28.40000000
OMBTC,OM,BTC,0.00000085
OMBUSD,OM,BUSD,0.02184000
OMUSDT,OM,USDT,0.02183000
PONDBTC,POND,BTC,0.00000026
PONDBUSD,POND,BUSD,0.00694000
PONDUSDT,POND,USDT,0.00694000
DEGOBTC,DEGO,BTC,0.00005398
DEGOBUSD,DEGO,BUSD,1.39600000
DEGOUSDT,DEGO,USDT,1.39800000
AVAXEUR,AVAX,EUR,10.94000000
CHZBRL,CHZ,BRL,0.33300000
ALICEBTC,ALICE,BTC,0.00003490
ALICEBUSD,ALICE,BUSD,0.90500000
ALICEUSDT,ALICE,USDT,0.90400000
CHZBUSD,CHZ,BUSD,0.06830000
CHZEUR,CHZ,EUR,0.06320000
CHZGBP,CHZ,GBP,0.05350000
BIFIBUSD,BIFI,BUSD,353.50000000
LINABTC,LINA,BTC,0.00000055
LINABUSD,LINA,BUSD,0.01422200
LINAUSDT,LINA,USDT,0.01421500
ADARUB,ADA,RUB,23.29000000
ENJBRL,ENJ,BRL,1.25200000
ENJEUR,ENJ,EUR,0.23880000
MATICEUR,MATIC,EUR,0.60000000
NEOTRY,NEO,TRY,187.00000000
PERPBTC,PERP,BTC,0.00001593
PERPBUSD,PERP,BUSD,0.41505000
PERPUSDT,PERP,USDT,0.41465000
